               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079242,            0.035337,            0.017333,                   0,                   0,                   0,                   0,                   0,           0.0043191,                   0,            0.070009,           0.0033323,           0.0033323
                   1,            0.060557,            0.033185,           0.0072436,                   0,                   0,                   0,                   0,                   0,           0.0054522,                   0,            0.039773,             0.00643,             0.00643
                   2,            0.057126,            0.031913,           0.0065132,                   0,                   0,                   0,                   0,                   0,           0.0057677,                   0,           0.0093019,           0.0092919,           0.0092919
                   3,             0.05562,            0.032164,           0.0061501,                   0,                   0,                   0,                   0,                   0,           0.0060701,                   0,           0.0089393,           0.0089393,           0.0089393
                   4,            0.052843,            0.031635,            0.005434,                   0,                   0,                   0,                   0,                   0,           0.0058979,                   0,           0.0089393,           0.0089393,           0.0089393
                   5,            0.050991,            0.030576,           0.0048857,                   0,                   0,                   0,                   0,                   0,           0.0066027,                   0,           0.0085857,           0.0085857,           0.0085857
                   6,            0.050192,            0.030836,           0.0047368,                   0,                   0,                   0,                   0,                   0,           0.0072934,                   0,           0.0082321,           0.0082321,           0.0082321
                   7,            0.049854,            0.030674,           0.0044893,                   0,                   0,                   0,                   0,                   0,           0.0075382,                   0,           0.0078786,           0.0078786,           0.0078786
                   8,            0.048619,            0.030314,           0.0044743,                   0,                   0,                   0,                   0,                   0,           0.0067366,                   0,            0.007525,            0.007525,            0.007525
                   9,            0.048229,             0.03034,           0.0039371,                   0,                   0,                   0,                   0,                   0,           0.0068438,                   0,           0.0071714,           0.0071714,           0.0071714
                  10,            0.047135,            0.029737,            0.003851,                   0,                   0,                   0,                   0,                   0,           0.0081466,                   0,           0.0068179,           0.0068179,           0.0068179
                  11,            0.046647,            0.029405,           0.0038062,                   0,                   0,                   0,                   0,                   0,            0.007125,                   0,           0.0064643,           0.0064643,           0.0064643
                  12,            0.045901,            0.028904,           0.0036865,                   0,                   0,                   0,                   0,                   0,           0.0077691,                   0,           0.0061107,           0.0061107,           0.0061107
                  13,            0.045652,            0.028851,           0.0035463,                   0,                   0,                   0,                   0,                   0,           0.0067129,                   0,           0.0057571,           0.0057571,           0.0057571
                  14,            0.045082,            0.028258,           0.0033962,                   0,                   0,                   0,                   0,                   0,           0.0071338,                   0,           0.0054036,           0.0054036,           0.0054036
                  15,            0.044923,            0.028902,           0.0034365,                   0,                   0,                   0,                   0,                   0,           0.0081718,                   0,             0.00505,             0.00505,             0.00505
                  16,            0.043654,             0.02842,            0.002953,                   0,                   0,                   0,                   0,                   0,           0.0070735,                   0,           0.0046964,           0.0046964,           0.0046964
                  17,            0.043556,            0.028319,            0.002965,                   0,                   0,                   0,                   0,                   0,           0.0077779,                   0,           0.0043429,           0.0043429,           0.0043429
                  18,            0.043345,            0.028006,           0.0028873,                   0,                   0,                   0,                   0,                   0,           0.0081521,                   0,           0.0039893,           0.0039893,           0.0039893
                  19,            0.042045,            0.027623,           0.0028341,                   0,                   0,                   0,                   0,                   0,           0.0075482,                   0,           0.0036357,           0.0036357,           0.0036357
                  20,            0.041771,            0.027525,           0.0027546,                   0,                   0,                   0,                   0,                   0,           0.0071126,                   0,           0.0032821,           0.0032821,           0.0032821
                  21,            0.041053,            0.027081,           0.0025905,                   0,                   0,                   0,                   0,                   0,           0.0069455,                   0,           0.0029286,           0.0029286,           0.0029286
                  22,               0.041,            0.027159,           0.0024623,                   0,                   0,                   0,                   0,                   0,           0.0073842,                   0,            0.002575,            0.002575,            0.002575
                  23,            0.040401,            0.026402,           0.0024869,                   0,                   0,                   0,                   0,                   0,           0.0077912,                   0,           0.0022214,           0.0022214,           0.0022214
                  24,            0.040077,            0.026207,           0.0023931,                   0,                   0,                   0,                   0,                   0,            0.007928,                   0,           0.0018679,           0.0018679,           0.0018679
                  25,            0.039792,            0.025931,           0.0021555,                   0,                   0,                   0,                   0,                   0,            0.007241,                   0,           0.0015143,           0.0015143,           0.0015143
                  26,            0.039553,            0.026108,            0.002099,                   0,                   0,                   0,                   0,                   0,           0.0075487,                   0,           0.0011607,           0.0011607,           0.0011607
                  27,            0.038743,            0.025868,           0.0021078,                   0,                   0,                   0,                   0,                   0,           0.0075935,                   0,          0.00080714,          0.00080714,          0.00080714
